x_true,y_true,vx_true,vy_true,x_est,y_est,vx_est,vy_est,sensor,nis
-21.3920,8.1170,4.2417,2.6897,-21.4397,8.0398,4.2252,2.5167,R,1.6991
-21.1787,8.2496,4.2945,2.6142,-21.2153,8.0754,4.2820,2.2549,L,4.3996
-20.9628,8.3783,4.3453,2.5387,-21.0245,8.2267,4.2194,2.2799,R,6.5001
-20.7444,8.5033,4.3941,2.4634,-20.8456,8.3781,4.2210,2.2784,L,3.1958
-20.5237,8.6246,4.4409,2.3883,-20.6043,8.4905,4.3438,2.1727,R,4.3263
-20.3006,8.7421,4.4858,2.3136,-20.3538,8.6294,4.4376,2.1408,L,1.3712
-20.0753,8.8558,4.5288,2.2392,-20.1562,8.7585,4.3840,2.1402,R,2.0204
-19.8480,8.9659,4.5700,2.1652,-19.9572,8.8596,4.3904,2.0589,L,0.5993
-19.6186,9.0723,4.6094,2.0918,-19.7592,8.9767,4.3442,2.0462,R,1.5850
-19.3873,9.1750,4.6469,2.0189,-19.5368,9.0490,4.3793,1.9216,L,0.5303
-19.1542,9.2741,4.6828,1.9467,-19.2971,9.1566,4.4556,1.8637,R,4.4425
-18.9193,9.3696,4.7169,1.8751,-19.0096,9.2500,4.5786,1.7815,L,5.9579
-18.6827,9.4615,4.7494,1.8043,-18.7935,9.3330,4.5920,1.6953,R,1.6703
-18.4446,9.5500,4.7803,1.7343,-18.5373,9.4368,4.6614,1.6538,L,0.7744
-18.2049,9.6349,4.8096,1.6651,-18.2718,9.4694,4.7883,1.4257,R,5.6671
-17.9639,9.7164,4.8374,1.5969,-17.9784,9.6022,4.9063,1.4507,L,3.3657
-17.7214,9.7946,4.8637,1.5296,-17.7331,9.6942,4.8887,1.4398,R,2.9132
-17.4777,9.8694,4.8886,1.4634,-17.4572,9.8038,4.9640,1.4340,L,1.1324
-17.2328,9.9409,4.9120,1.3982,-17.2088,9.8816,4.9908,1.3678,R,0.4511
-16.9868,10.0091,4.9342,1.3341,-16.9359,10.0058,5.0548,1.4045,L,1.3713
-16.7396,10.0743,4.9551,1.2711,-16.6803,10.0743,5.0789,1.3285,R,0.0508
-16.4915,10.1362,4.9747,1.2094,-16.4327,10.1802,5.0956,1.3382,L,1.3025
-16.2424,10.1952,4.9931,1.1488,-16.1747,10.2502,5.1290,1.2665,R,0.5155
-15.9924,10.2511,5.0104,1.0896,-15.9412,10.2725,5.1053,1.1142,L,0.7525
-15.7416,10.3041,5.0266,1.0316,-15.6931,10.3386,5.0948,1.0795,R,0.2951
-15.4899,10.3543,5.0417,0.9750,-15.4741,10.3298,5.0429,0.8869,L,1.8030
-15.2376,10.4016,5.0558,0.9197,-15.1769,10.3564,5.1708,0.7225,R,7.7954
-14.9846,10.4462,5.0689,0.8658,-14.9167,10.4109,5.1911,0.6742,L,0.2387
-14.7309,10.4882,5.0811,0.8134,-14.6737,10.4461,5.1143,0.6566,R,6.5078
-14.4766,10.5276,5.0924,0.7624,-14.4322,10.4110,5.0824,0.4485,L,2.1522
-14.2218,10.5645,5.1029,0.7129,-14.1719,10.4363,5.0914,0.3823,R,0.5627
